"","text","emotion","polarity"
"25","rt tcboutiquegh nespresso moments <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65> rubyred redvelvet cupcakes coffee nespresso accra labone ghana","unknown","positive"
"26","rt tcboutiquegh nespresso moments <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65> rubyred redvelvet cupcakes coffee nespresso accra labone ghana","unknown","positive"
"27","celebratingyrs nespressothe most innovative coffee system since the discovery of the bean","unknown","positive"
"28","dawleysue trying hard not to get distracted and finish mynespresso while its hot or warm","joy","negative"
"29","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"30","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"31","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"32","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"33","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"34","hey guys don’t forget join us on thunderclap amp you could win a nespresso machine click here to entergiveaways","unknown","negative"
"35","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"36","spekkoek nespresso rules","unknown","positive"
"37","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"38","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"39","nespresso pure black u machine single serve espresso maker w pods","unknown","neutral"
"40","chillieboi stillberto arsene enjoyed a coffee and now were interested in nespresso apparently he has multiple strengths","unknown","positive"
"41","whats the punch bowl in spitting distance the nespresso d espresso machines trfjalx","unknown","negative"
"42","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"43","read about our new bethesda store here gtgtwestfieldmon","unknown","positive"
"44","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"45","rt foodbusker nice little piece about my coffee biz cru kafenespresso capsules the organic and fair way","joy","negative"
"46","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"47","nespresso have just resent it to nespressouk","anger","neutral"
"48","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"49","rhea bought a nespresso for our home rip my wellbeing","unknown","positive"
"50","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"51","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"52","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"53","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"54","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"55","johnhelmphoto hi john we do not appear to have received your dm could you please resend it to the nespressouk page many thanks","joy","positive"
"56","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"57","café nespresso has now reopened and our maestros are ready to serve a variety of drinks and gourmet food stop by to findyourunusual","unknown","positive"
"58","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"59","rt fairsnape former nespresso ceo says coffee pods are killing the environment","unknown","positive"
"60","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"61","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"62","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"63","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"64","former nespresso ceo says coffee pods are killing the environmentvia mic","unknown","positive"
"65","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"66","get a nespresso coffee maker for half off — on amazon uk you know you want one","sadness","neutral"
"67","ah yes my coffee maker decided to go on strike nespresso","joy","neutral"
"68","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"69","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"70","i own a nespresso and am guilty of this one sweet day ill be able to afford a proper espresso machine","sadness","neutral"
"71","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"72","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"73","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"74","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"75","nespresso bags all cut out and collected really niche but really cool see them here","unknown","negative"
"76","rt mic a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment …","sadness","negative"
"77","former nespresso ceo says coffee pods are killing the environment","unknown","positive"
"78","a former nespresso ceo amp the inventor of the keurig are really sorry about those coffee pods killing the environment","sadness","negative"
"79","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"80","nespresso sirs who designed a water recipient where is impossible to put your hand inside to clean it need a clean brush in my office ux","unknown","negative"
"81","rt ismiseconchur sometimes i start to think were not that middle class and then we get a delivery ofnespresso coffee pods","sadness","neutral"
"82","sometimes i start to think were not that middle class and then we get a delivery ofnespresso coffee pods","sadness","neutral"
"83","former nespresso ceo says coffee pods are killing the environmentvia mic","unknown","positive"
"84","the summer in nearing an end and the early mornings will be soon upon us so treat yourself to this unbeatable","unknown","positive"
"85","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"86","good morning hautesucre cafe espresso nespresso nespressomoments coffeetime coffee coffeelovers yum","joy","positive"
"87","thanks nespresso for your amazing customer service you went above and beyond coffee espresso nespressousa","surprise","positive"
"88","sold out nespresso x ritual cappuccino cupsampsaucers porcelainnew","unknown","positive"
"89","davidlenigas keywestauthor nespresso popsugarfood lgccapital its like a hot high protein smoothie in the morning strength to roar","anger","positive"
"90","nestle nespresso will you then pump their local water supply and sell it back to them","unknown","positive"
"91","davidlenigas keywestauthor nespresso popsugarfood lgccapital lol funny no time to eat","unknown","positive"
"92","cubareport keywestauthor nespresso popsugarfood lgccapital breakfast and coffee all in one cuppa","unknown","positive"
"93","keywestauthor davidlenigas nespresso popsugarfood lgccapital wouldnt that just add protein to ones morning cup of coffee","unknown","neutral"
"94","check out nespresso inissia coffee capsule machine with aeroccinoby kr by krups","unknown","positive"
"95","dadabuh dawleysue i need new coffee or make cold strong iced coffee with my nespresso that went cold what time is it what day is it","unknown","negative"
"96","how does nespressos cuban coffee taste back in june the coffee and home brewing company announced news of","joy","positive"
"97","are your coffee pods killing the environment","unknown","positive"
"98","my coffee of choice while im writing nespresso vanilla alan partridge voice gtgt its ruddy lovely amwriting","unknown","positive"
"99","proud new member of the very select nespressos club newfresh lifefresh coffee","joy","positive"
"100","nespresso capsulesluxury mixed by nespresso","unknown","positive"
"101","keywestauthor cubareport nespresso popsugarfood lgccapital thats why the cuba mountain coffee deal is ground breaking for cuba","unknown","positive"
"102","americans tried cuban coffee for the first time and heres what happened","unknown","negative"
"103","how nespresso is delivering a strong buzz","unknown","positive"
"104","this trusted approved nespresso machine is still a ridiculousoff","joy","positive"
"105","rt ftlifearts ‘those who seek him out wouldn’t be seen dead at starbucks and won’t touch a nespresso’…","unknown","negative"
"106","davidlenigas cubareport nespresso popsugarfood lgccapital while average cubans get plain coffee cut with roasted peas giveback","sadness","negative"
"107","keurig are your kcups lined with shellac like nespresso capsules are","joy","positive"
"108","thifyx actually nespresso is quite decent if the price is ok","unknown","positive"
"109","trying out a new coffee today it’s currently bringing me back to life","unknown","neutral"
"110","rt ftlifearts ‘those who seek him out wouldn’t be seen dead at starbucks and won’t touch a nespresso’…","unknown","negative"
"111","rt davidlenigas heres how nespressos limitededition cuban coffee tastes via popsugarfoodvia popsugarfood…","unknown","negative"
"112","‘those who seek him out wouldn’t be seen dead at starbucks and won’t touch a nespresso’","unknown","negative"
"113","nespresso delivering a strong buzz","unknown","positive"
"114","danniiminogue nespresso happy lunchtime no detox definitely not healthy screams of school holidays <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E37>","joy","positive"
"115","ran out of nespresso pods this morning so had to have an instant coffee and now my mouth feels like the inside of a hamster cage","joy","positive"
"116","nespresso moments <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65> rubyred redvelvet cupcakes coffee nespresso accra labone ghana","unknown","positive"
"117","whats the scoop within reach the nespresso d espresso machines vriezlq","unknown","positive"
"118","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"119","rt davidlenigas heres how nespressos limitededition cuban coffee tastes via popsugarfoodvia popsugarfood…","unknown","negative"
"120","kidcuteture morning isnt morning without my nespressothanks for the favourite","unknown","positive"
"121","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"122","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"123","i am cutting everything nestle out of my life nespresso is going in the garbage theyre sociallyirresposible and need to stop bullying","unknown","negative"
"124","nespressouk nespresso just love the gold one volluto instantly had to buy more and hopefully the bigbox soon too with the free gift","joy","positive"
"125","nespressouk nespresso after your th test tasters for the starter pack dont worry have lords left haha just love","joy","negative"
"126","are you a coffee connoisseur","unknown","positive"
"127","rt ecounesco former nespresso boss warns coffee pods are killing the environment","unknown","positive"
"128","rt euanritchie and the coffee is awful","fear","negative"
"129","heres how nespressos limitededition cuban coffee tastes via popsugarfoodvia popsugarfood lgccapital","unknown","negative"
"130","rt stopbasura nespresso what else or what hellnespresso nespressoes","unknown","negative"
"131","nespresso inissia espresso coffee makerchoose your color","unknown","positive"
"132","rt dlcubanews how does nespressos cuban coffee taste back in june the coffee and home brewing company announced news of …","joy","positive"
"133","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"134","rt ecounesco former nespresso boss warns coffee pods are killing the environment","unknown","positive"
"135","former nespresso ceo says coffee pods are killing the environmentmic","unknown","positive"
"136","rt euanritchie and the coffee is awful","fear","negative"
"137","why pricing itemstimes more than retailers internationally nespressoqatar nespresso bluesalonqatar","unknown","positive"
"138","love my nespresso for hot days like this and i can make an iced coffee at home <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63> <U+2615><U+FE0F>","joy","positive"
"139","jonathan this nespresso has your name on it <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62> jonathanjoly nespressouk nespressolovers","unknown","positive"
"140","prevents me from buying nespresso from my own country amp get a huge supply when i travel not very convenient nespresso nespressoqatar","sadness","negative"
"141","nespresso capsule seelves in uk cost abouteach in qatar price is equivalent tothat is just too muchnespressoqatar nespresso","unknown","positive"
"142","rt reclaimaust when nespresso gets tired of their current salt amp pepper ambassador ive got the perfect replacement…","disgust","neutral"
"143","rt lizzysherwood reclaimaust nespresso what a cute little puppy snout theres a lot of wisdom in that noggin of his","unknown","neutral"
"144","check out magimix nespresso inissia coffeemachineblack by magimix","unknown","positive"
"145","my addictionnespresso nespresso lebanon coffee espresso foodporn like foodography","joy","positive"
"146","rt envpillar former nespresso boss warns coffee pods are killing environment","unknown","positive"
"147","former nespresso ceo says coffee pods are killing the environmentvia flipboard","unknown","positive"
"148","reclaimaust nespresso what a cute little puppy snout theres a lot of wisdom in that noggin of his","unknown","neutral"
"149","pixie autumn promotionnespresso machine purchasecoffee capsules get aerochinno free<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>","sadness","negative"
"150","yodelhell appalling service from yodelonline nespresso website showing yodel delivered on monday pure lies","unknown","negative"
"151","gavinmorrice like a nespresso for tea","joy","positive"
"152","a nespresso and gtsounders deniasee youy tonite","unknown","positive"
"153","when nespresso gets tired of their current salt amp pepper ambassador ive got the perfect replacement","disgust","neutral"
"154","free downloadproven strategies for purposedriven sustainability innovation ft jetblue rei nespresso amp more","unknown","positive"
"155","rt applehurstroast were now selling pods that fit nespresso coffee machine and dolce gusto refills kentkatco greatcoffee anytime ht…","anger","positive"
"156","we are now a nespresso household nespresso coffee delicious coffeerush onceyougonespressoyounevergoback","unknown","positive"
"157","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"158","coffeebreak<U+2615><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E36> coffee frenchie frenchbulldog loetje hairdresser kapper koffie nespresso…","unknown","positive"
"159","gra hi gráinne café nespresso is located atcheapside london we hope to be back open very soon","surprise","positive"
"160","nespressouk thankyou for replacing my cups great customer service <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63> love your coffee nespresso nespressomoments","joy","positive"
"161","affordable nespresso vertuoline evoluo coffee ampamp espresso machine get now bestbuy at","sadness","negative"
"162","rt elrosecreative new promo teaser for nespresso filmed at the lido in bristol coffee celebration cribbscauseway lidobristol …","unknown","positive"
"163","whats the latest circuitously the nespresso d espresso machines mhdcqaz","unknown","positive"
"164","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"165","how does nespressos cuban coffee taste back in june the coffee and home brewing company announced news of","joy","positive"
"166","rt guardianlabs the history of coffee inkey events a new guardianlabs interactive paidforby nespressouk","unknown","positive"
"167","what elselettering letteringtattoo tattootattooflash tattoostudio exercise nespresso…","unknown","positive"
"168","le clone de clooney fait plier nespressoculturepub","unknown","positive"
"169","new promo teaser for nespresso filmed at the lido in bristol coffee celebration cribbscauseway lidobristol","unknown","positive"
"170","virtual trip to brazil with nespresso ltd ed cafezinho nespressomoments like gold thank you trysomethingnew","joy","positive"
"171","good to be back suitenovotel lille room makeover but yummy original nibbles tray gone since bradtguides review nespresso cafe upgrade","joy","positive"
"172","mrduncanjames nespresso i e had mine for two years works perfectly still model depends on personal preference","joy","positive"
"173","nespresso gourmet weeksin solothurn nespressogourmetsolothurn","unknown","positive"
"174","rt doitdiff coffee pods like nespresso take gt years to breakdown now theres a more sustainable option","joy","neutral"
"175","nespresso is there no way to make your pods biodegradable somuchwaste gogreen ecofriendly","unknown","negative"
"176","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"177","so not used to working two days in a row with nespresso plus two days work placement im basically a full timer","unknown","positive"
"178","former nespresso boss warns coffee pods are killing the environment","unknown","positive"
"179","nespresso what else<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30>","unknown","positive"
"180","rt whatsorb nespresso ceo says coffee pods are killing the environment whatsorb","unknown","positive"
"181","robotopia tripadvisor but theres no nespresso on the metro","unknown","positive"
"182","im for a world where hotels would be prohibited from making instant coffee free but charging for nespresso capsules in the room","unknown","positive"
"183","got a new kitchenaid nespresso it keeps crushing my capsules is this normal nespressouk kitchenaiduk","unknown","neutral"
"184","the history of coffee inkey events a new guardianlabs interactive paidforby nespressouk","unknown","positive"
"185","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"186","former nespresso boss warns coffee pods are killing environmentvia abcnewsb shte","unknown","positive"
"187","rt nespressoau thefblogaurevitalising your dad’s nespresso moments is the perfect gift idea for full details…","unknown","positive"
"188","how does nespressos cuban coffee tastecuba","unknown","positive"
"189","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"190","jobs jobsearch sydney nespresso boutique coffee specialistssydneynswsydney descripti","unknown","positive"
"191","nespresso variety pack for originallinecapsulesozamazon top sellers","surprise","positive"
"192","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"193","refuelling with nespresso in home amp cook which flavour is your favourite coffee","unknown","positive"
"194","so why exactly do georgeclooney and jackblack from realtenaciousd advertise this crap nespresso","unknown","positive"
"195","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"196","danniiminogue nespresso so cool on one thing we can rely dannii rocks","unknown","positive"
"197","johnhelmphoto were disappointed to hear this john please dm your order number amp postcode so we can investigate","joy","neutral"
"198","what impact is your coffee having on the environmentvia abcnews nespresso","unknown","positive"
"199","whats the stump thereabout the nespresso d espresso machines ygvsfwu","unknown","negative"
"200","rt yukarisakamoto tasting through the jpcapsulecoffee compatible with nespresso machines …","joy","positive"
"201","rt yukarisakamoto tasting through the jpcapsulecoffee compatible with nespresso machines …","joy","positive"
"202","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"203","no shit former nespresso ceo says coffee pods are killing the environment","unknown","positive"
"204","rt zestyearth former nespresso boss warns coffee pods are killing environment","unknown","positive"
"205","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"206","lets make our pleasures more sustainable","unknown","positive"
"207","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"208","rt irishenvnet former nespresso boss warns coffee pods are killing environment","unknown","positive"
"209","tasting through the jpcapsulecoffee compatible with nespresso machines","joy","positive"
"210","nespresso mornings throat still sore <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E35>","anger","negative"
"211","rt applehurstroast were now selling pods that fit nespresso coffee machine and dolce gusto refills kentkatco greatcoffee anytime ht…","anger","positive"
"212","former nespresso ceo says coffee pods are killing the environment","unknown","positive"
"213","did you know coffee pods take up toyears to break down consider the environment and buy freshly roasted","unknown","positive"
"214","clairerichards if you contact our nespresso specialists onthey will be able to advise","unknown","positive"
"215","lastgifts you received <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E61> — mmmmbasket of chocolate and snacks forever rose london <U+2764><U+FE0F> nespresso mach…","unknown","positive"
"216","damn it nespresso you could have released the special editiondays ago before i ordered","unknown","negative"
"217","if i’m not at work tomorrow you can assume i didn’t sleep did i mention i got a nespresso machine gottatasteemall","unknown","positive"
"218","how does nespressos cuban coffee taste back in june the coffee and home brewing company announced news of","joy","positive"
"219","terrible customer service by nespresso amp yodelonline coffee supposedly delivered and no call back with an update as promised within hrs","fear","negative"
"220","mrduncanjames calumbest hey guys wed be happy to send you some of our organic nespresso compatible pods if you would like dm us","joy","positive"
"221","chrishanretty can you still buy ayear student version forquid i guess that was just to lock people in the nespresso of stats","unknown","positive"
"222","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"223","good morning <U+2615><U+FE0F>nespresso coffee","joy","positive"
"224","rt danniiminogue a very good morning my own museli<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62> nespresso","joy","positive"
"225","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"226","coffee pods are killing the environmenta solution herevia abcnews","unknown","positive"
"227","danniiminogue nespresso wow you are a <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E66> does it work for artists too","unknown","positive"
"228","rt zestynature former nespresso boss warns coffee pods are killing environment","unknown","positive"
"229","rt zestyenviro former nespresso boss warns coffee pods are killing environment","unknown","positive"
"230","nespresso ceo says coffee pods are killing the environment whatsorb","unknown","positive"
"231","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"232","rt monicadux former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"233","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"234","rt irishenvnet former nespresso boss warns coffee pods are killing environment","unknown","positive"
"235","my nespresso coffee maker gets me through life","unknown","positive"
"236","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"237","hermakit abcnews nespresso sad but true","sadness","negative"
"238","retail jobs nespresso boutique coffee specialistssydney nswsydney description customer servicesale","unknown","positive"
"239","check out magimix nespresso inissia coffeemachineblack by magimix","unknown","positive"
"240","nicknobody abcnews nespresso pungent amp cogent","unknown","positive"
"241","jobs jobsearch sydney nespresso boutique coffee specialistssydneynswsydney descripti","unknown","positive"
"242","rt atollsailor former nespresso boss warns coffee pods are killing environment","unknown","positive"
"243","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"244","refuse to use former nespresso ceo says coffee pods are killing the environment","unknown","negative"
"245","billions of pods discarded in landfills each year coffee coffeepods sustainability","unknown","positive"
"246","rotary type nespresso filling sealing machine:(<U+6765><U+81EA>youtube)","unknown","positive"
"247","coffee addicts find another way former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","negative"
