"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Conquor the day but first, coffee! Good morning from Winky Designs #coffee #starbucks #vacation #travel #slapwatch https://t.co/JWkDcAHgUL",FALSE,0,NA,2016-08-23 14:56:39,FALSE,NA,"768099641099509760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WinkyDesigns",0,FALSE,FALSE,NA,NA
"12","In need of Starbucks",FALSE,0,NA,2016-08-23 14:56:38,FALSE,NA,"768099636359946240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KSkrada",0,FALSE,FALSE,NA,NA
"13","""How could you carry that bag before you have starbucks""
*takes bag from me and gives me starbucks money* 
#thanksdad <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>",FALSE,0,NA,2016-08-23 14:56:36,FALSE,NA,"768099627006435328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissie_grillo",0,FALSE,FALSE,NA,NA
"14","When you get free coffee at your Starbucks interview &gt;&gt;&gt;",FALSE,1,NA,2016-08-23 14:56:35,FALSE,NA,"768099624309579776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dannaav_",0,FALSE,FALSE,NA,NA
"15","@starbucks is famous for changing your name <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #newname #coffee #picoftheday #starbucks @… https://t.co/wRCGsBRlrO",FALSE,0,"Starbucks",2016-08-23 14:56:31,FALSE,NA,"768099608677355520","30973","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JuanRicardoDiaz",0,FALSE,FALSE,"-87.9559","43.0522"
"16","RT @el_rey629: Should have bought Starbucks idk y I didn't",FALSE,0,NA,2016-08-23 14:56:30,FALSE,NA,"768099600544571392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nuckil",1,TRUE,FALSE,NA,NA
"17","What's good to get from Starbucks",FALSE,0,NA,2016-08-23 14:56:25,FALSE,NA,"768099582446297089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoJumpaaa",0,FALSE,FALSE,NA,NA
"18","Can you recommend anyone for this #job? Shift Supervisor (US) - https://t.co/OnPnERqOEn #Hospitality #Veterans #Hiring #CareerArc",FALSE,0,NA,2016-08-23 14:56:25,FALSE,NA,"768099580940464129",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_sjc_hrta",0,FALSE,FALSE,"-121.9450714","37.2872853"
"19","After leaving to get coffee and coming back to the library 9873800999 times I am glad they finally built a Starbucks inside once I graduated",FALSE,0,NA,2016-08-23 14:56:24,FALSE,NA,"768099577379651585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mearamccarty",0,FALSE,FALSE,NA,NA
"20","I'm hungry but there ain't shit to eat <ed><U+00A0><U+00BD><ed><U+00B8><U+0094> someone just bring me breakfast &amp; Starbucks lol",FALSE,0,NA,2016-08-23 14:56:23,FALSE,NA,"768099574732824576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThatsDezzie",0,FALSE,FALSE,NA,NA
"21","Somerset Latest: RuthOvens published Wells has 22 coffee shops and cafes but Starbucks ain't one: As cities g... https://t.co/0k8XVkVTg9",FALSE,0,NA,2016-08-23 14:56:12,FALSE,NA,"768099527198859264",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","NewsSomerset",0,FALSE,FALSE,NA,NA
"22","RelNews: New $6M Starbucks/car wash underway in Dayton region -The Business Journal- https://t.co/1LmnkaupAB",FALSE,0,NA,2016-08-23 14:56:02,FALSE,NA,"768099487038537728",NA,"<a href=""http://www.usa-news.net"" rel=""nofollow"">usanewsapp</a>","usarelatednews",0,FALSE,FALSE,NA,NA
"23","Starbucks is so DAMN EXPENSIVE <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00B8>",FALSE,0,NA,2016-08-23 14:55:58,FALSE,NA,"768099469061681152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michael_look397",0,FALSE,FALSE,NA,NA
"24","RT @Starbucks: 3 ways to brighten your day: <U+2600><U+FE0F>, bubbles &amp; ordering your #Teavana <U+2728>sparking<U+2728>. #MBTL #PGTL https://t.co/65nv7sX0Ag",FALSE,0,NA,2016-08-23 14:55:57,FALSE,NA,"768099465366343680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TrashyDrea",114,TRUE,FALSE,NA,NA
"25","it actually hurts my soul that there is not a @Starbucks in close proximity to my office. Need #starbucks",FALSE,0,NA,2016-08-23 14:55:56,FALSE,NA,"768099458647199744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HRVickiD",0,FALSE,FALSE,NA,NA
"26","Just posted a photo @ Starbucks, Venice Grand Canal Mall https://t.co/m4h2RhSXFv",FALSE,0,NA,2016-08-23 14:55:54,FALSE,NA,"768099450661265409",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NosyajOfficial",0,FALSE,FALSE,"121.05098021","14.53447314"
"27","Why did my school have to get rid of Starbucks on campus<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2016-08-23 14:55:45,FALSE,NA,"768099411830403072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaylorRaeKrantz",0,FALSE,FALSE,NA,NA
"28","I'm at Starbucks in Nuzha https://t.co/veUzjPZEU1",FALSE,0,NA,2016-08-23 14:55:42,FALSE,NA,"768099400619008000",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","bealoq8",0,FALSE,FALSE,NA,NA
"29","A cute girl asked me where Starbucks was earlier and now she's in my class !! Other than that. Ugly boys :/",FALSE,0,NA,2016-08-23 14:55:38,FALSE,NA,"768099383913177088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarticee",0,FALSE,FALSE,NA,NA
"30","@MonsterEnergy has salted caramel java now?! Between that starbucks double shots I'll have energy for weeks! #stayenergized",FALSE,0,"MonsterEnergy",2016-08-23 14:55:38,FALSE,NA,"768099383535472640","63253045","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AhReAnimate",0,FALSE,FALSE,NA,NA
"31","This guy in starbucks was bitch ab ""all lives matter"" and this woke old white man was like if they all matter why aren't you marching w blm",FALSE,0,NA,2016-08-23 14:55:32,FALSE,NA,"768099359871369220",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kells_lagee",0,FALSE,FALSE,NA,NA
"32","Bestfriend came thru with Starbucks for the first day <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,2016-08-23 14:55:30,FALSE,NA,"768099352875118592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moralessmeeel",0,FALSE,FALSE,NA,NA
"33","Where are u @Starbucks ?? I need you!!!!!!!",FALSE,0,NA,2016-08-23 14:55:30,FALSE,NA,"768099350467584000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geeKiKi1",0,FALSE,FALSE,NA,NA
"34","To the handsome guy at Starbucks who dripped coffee on my shoe but apologized a million times and paid for mine:

Next time I'll murder you.",FALSE,0,NA,2016-08-23 14:55:26,FALSE,NA,"768099334609076224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SupJess__",0,FALSE,FALSE,NA,NA
"35","The Starbucks cashier asked if I spell my name ""Lauren"" and I mindlessly agreed.. I'm a monster what will I lie about next!!!!!",FALSE,0,NA,2016-08-23 14:55:22,FALSE,NA,"768099316368048128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lorentock",0,FALSE,FALSE,NA,NA
"36","Want to work in ? View our latest opening: https://t.co/OXlzHDfj4y #Job #Hospitality #Veterans #Jobs #Hiring #CareerArc",FALSE,0,NA,2016-08-23 14:55:22,FALSE,NA,"768099315726245888",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_ind_hrta",0,FALSE,FALSE,"-86.209638","39.9556477"
"37","Enter to Win A Starbucks Veranda Blonde K-Cups #giveaway @MaxwellsAttic https://t.co/zxDoHbPJSy",FALSE,0,NA,2016-08-23 14:55:16,FALSE,NA,"768099290497617920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HammacKathy",0,FALSE,FALSE,NA,NA
"38","#werkwerkwerk #werk <U+2615><U+FE0F><U+2764><U+FE0F> @ Starbucks https://t.co/nd1J68KXvz",FALSE,0,NA,2016-08-23 14:55:16,FALSE,NA,"768099290480799744",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HodayaSharon",0,FALSE,FALSE,NA,NA
"39","RT @doommiserh: @Loreena1968 Have you ever been wondering about the rich millionaires at Starbucks? http://t.co/oeAwPpdI",FALSE,0,NA,2016-08-23 14:55:14,FALSE,NA,"768099285233729536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","i9ih_2",13,TRUE,FALSE,NA,NA
"40","RT @doommiserh: @Loreena1968 Have you ever been wondering about the rich millionaires at Starbucks? http://t.co/oeAwPpdI",FALSE,0,NA,2016-08-23 14:55:13,FALSE,NA,"768099280993325057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abdallahbanlad2",13,TRUE,FALSE,NA,NA
"41","RT @doommiserh: @Loreena1968 Have you ever been wondering about the rich millionaires at Starbucks? http://t.co/oeAwPpdI",FALSE,0,NA,2016-08-23 14:55:13,FALSE,NA,"768099280137625600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hauzypheh",13,TRUE,FALSE,NA,NA
"42","Started doing that thing where you can't stop sneezing 839292 times in a row right when it was my turn to order at Starbucks smh <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7>",FALSE,0,NA,2016-08-23 14:55:13,FALSE,NA,"768099280007553025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mamamia2297",0,FALSE,FALSE,NA,NA
"43","Can you recommend anyone for this #job? Barista (US) - https://t.co/kkubmZjblF #Hospitality 5204 ROAD 68, #PASCO, WA #Veterans #Hiring",FALSE,0,NA,2016-08-23 14:55:09,FALSE,NA,"768099263435857920",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_WAR_HRTA",0,FALSE,FALSE,"-119.185559","46.2737927"
"44","RT @Starbucks: You <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>ing what I'm <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>ing? #StarbucksDate #Teavana https://t.co/YTme9X7XE3",FALSE,0,NA,2016-08-23 14:55:09,FALSE,NA,"768099263356239872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarahhmarkk",603,TRUE,FALSE,NA,NA
"45","#Starbucks now processes 25% of its US payments through its mobile app: https://t.co/m1Z8DtOb4x via @ParksAssociates @businessinsider",FALSE,0,NA,2016-08-23 14:55:08,FALSE,NA,"768099257618399232",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","kyleatparks",0,FALSE,FALSE,NA,NA
"46","This #job might be a great fit for you: Shift Supervisor (QC) - https://t.co/aZPo11mMuB #Hospitality 751 Mont-Royal East, #Montreal, QC",FALSE,0,NA,2016-08-23 14:55:08,FALSE,NA,"768099256854908928",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_mon_hrta",0,FALSE,FALSE,"-73.5816138","45.5256858"
"47","frat boys gives deep motivational sigh @starbucks,, im moved",FALSE,0,NA,2016-08-23 14:55:04,FALSE,NA,"768099241059291136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindseybarthel",0,FALSE,FALSE,NA,NA
"48","Forgot to set an alarm last night. By the grace of God woke up at 7:30 and somehow still managed to have time for Starbucks. #bless",FALSE,0,NA,2016-08-23 14:54:59,FALSE,NA,"768099218976145408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Erikaann_reta",0,FALSE,FALSE,NA,NA
"49","We're #hiring! Click to apply: Barista Starbucks Plattekill TP - https://t.co/V7NrlbJZ6b #Job #Hospitality #Plattekill, NY #Jobs #CareerArc",FALSE,0,NA,2016-08-23 14:54:58,FALSE,NA,"768099214987452416",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_RAM_hrta",0,FALSE,FALSE,"-74.0593872","41.6239741"
"50","Also spelled my name out for the Starbucks lady...still spelled it wrong",FALSE,0,NA,2016-08-23 14:54:57,FALSE,NA,"768099213716488192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NewKeeli",0,FALSE,FALSE,NA,NA
"51","RT @NatbyNature: Getting ready to hit the interview chair... But first let's take a selfie &amp; drink lots of Starbucks! <U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B3><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@Glit_Glam https:…",FALSE,0,NA,2016-08-23 14:54:51,FALSE,NA,"768099187594502144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rglander",27,TRUE,FALSE,NA,NA
"52","RT @NatbyNature: Getting ready to hit the interview chair... But first let's take a selfie &amp; drink lots of Starbucks! <U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B3><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@Glit_Glam https:…",FALSE,0,NA,2016-08-23 14:54:43,FALSE,NA,"768099152391798788",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shvrpshooter",27,TRUE,FALSE,NA,NA
"53","We're #hiring! Read about our latest #job opening here: Barista (US) - https://t.co/xFoqvjnjeM 110 COLUMBUS DRIVE, #ABERDEEN, NC #Veterans",FALSE,0,NA,2016-08-23 14:54:39,FALSE,NA,"768099136113676294",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_fay_hrta",0,FALSE,FALSE,"-79.4195608","35.1578017"
"54","We're #hiring! Click to apply: Shift Supervisor (US) - https://t.co/TSxHbAC9E8 #Job #Hospitality #Veterans #Jobs #CareerArc",FALSE,0,NA,2016-08-23 14:54:38,FALSE,NA,"768099134544842753",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_atl_hrta",0,FALSE,FALSE,"-84.1666057","33.9192528"
"55","RT @EricMorath: What do McDonald's, Starbucks, JPMorgan and Nationwide have in common?
All raised the company minimum wage.
https://t.co/1U…",FALSE,0,NA,2016-08-23 14:54:38,FALSE,NA,"768099133693370373",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","susanlmarquis",17,TRUE,FALSE,NA,NA
"56","See our latest #job and click to apply: Barista (US) - https://t.co/XTcKOv2ntI #Hospitality #Veterans #Hiring #CareerArc",FALSE,0,NA,2016-08-23 14:54:26,FALSE,NA,"768099083298799616",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_tx_hrta",0,FALSE,FALSE,"-95.4762344","30.3162054"
"57","He found the Starbucks fell to his knees and wept salt tears.",FALSE,0,NA,2016-08-23 14:54:25,FALSE,NA,"768099079675121664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johndennen",0,FALSE,FALSE,NA,NA
"58","Get your coffee fix with @Starbucks, now being served in the Patio Café!  #UHCL #UHCLHawks https://t.co/TxCvO0CF1v",FALSE,0,NA,2016-08-23 14:54:25,FALSE,NA,"768099078706122754",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","UHClearLake",0,FALSE,FALSE,NA,NA
"59","RT @HannahLM78: Just saw a mother in Starbucks reading to her infant. Kudos lady! Certainly MUCH better than the other moms I see who just…",FALSE,0,NA,2016-08-23 14:54:22,FALSE,NA,"768099066072866816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dope_Fresh23",1,TRUE,FALSE,NA,NA
"60","RT @Nosey_Jozie: @Starbucks should deliver so I could order coffee all day long at work",FALSE,0,NA,2016-08-23 14:54:19,FALSE,NA,"768099054886670337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Perez0206",1,TRUE,FALSE,NA,NA
"61","Starbucks Mermaid 2004 Mug  Height 4""  Excellent https://t.co/ya1Pme7M75 https://t.co/SpZW623adV",FALSE,0,NA,2016-08-23 14:54:16,FALSE,NA,"768099041951481856",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","carbonelnicome4",0,FALSE,FALSE,NA,NA
"62","We don't have Jamba anymore and Starbucks isn't even open until next month and now no sandwiches?!? FUCKKKKED UPPPP <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>",FALSE,0,NA,2016-08-23 14:54:16,FALSE,NA,"768099040332353536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Linneasgotchu",0,FALSE,FALSE,NA,NA
"63","@visatta by Starbucks except he had longer hair",FALSE,0,"visatta",2016-08-23 14:54:14,FALSE,"767924957447794688","768099030035341312","117545773","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nancee_Styles",0,FALSE,FALSE,NA,NA
"64","Why did I move to a city where there are no Starbucks anywhere.....",FALSE,0,NA,2016-08-23 14:54:13,FALSE,NA,"768099027611156480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnneSawicki",0,FALSE,FALSE,NA,NA
"65","At Starbucks. A couple just came in in their jammies and got coffee. I mean just their jammies. . . #newworld",FALSE,0,NA,2016-08-23 14:54:11,FALSE,NA,"768099017695825921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaelcotten",0,FALSE,FALSE,NA,NA
"66","Starbucks now has pumpkin bread. You're welcome <ed><U+00A0><U+00BD><ed><U+00B2><U+0081>",FALSE,0,NA,2016-08-23 14:54:10,FALSE,NA,"768099013635796992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allybobali",0,FALSE,FALSE,NA,NA
"67","@joshgroban @_sarrypotter  There are 4 Starbucks,  drive thrus TNTC within a couple miles of my residential area of town.. Hope u enjoyed",FALSE,0,"joshgroban",2016-08-23 14:54:09,FALSE,"767937147215056897","768099009483247616","18009781","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shellyc42",0,FALSE,FALSE,NA,NA
"68","I just checked in at Starbucks with #mPLUSPlaces Download today!  https://t.co/vGVkKi724w",FALSE,0,NA,2016-08-23 14:54:09,FALSE,NA,"768099009399435268",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","straitms",0,FALSE,FALSE,NA,NA
"69","Can you recommend anyone for this #job? https://t.co/wpjIYjbHq2 #Hospitality 2193 YONGE ST UNIT C, #TORONTO, ON #Veterans #Hiring",FALSE,0,NA,2016-08-23 14:54:06,FALSE,NA,"768098997600858112",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_gta_hrta",0,FALSE,FALSE,"-79.3976309","43.7055634"
"70","what is your starbucks order — normally caramel macchiato, or pumpkin spice lattes... https://t.co/zv7yjyaQgJ",FALSE,0,NA,2016-08-23 14:54:06,FALSE,NA,"768098997097537537",NA,"<a href=""http://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","siriusonion",0,FALSE,FALSE,NA,NA
"71","@DaniCim You Want Coffee I Want Starbucks Coffee To Go Hyper I Want Chocolate Coffee Do You Want Some Starbucks Coffee",FALSE,0,"DaniCim",2016-08-23 14:54:03,FALSE,"768098245016969217","768098984397197312","82941287","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","LuckenTrevor",0,FALSE,FALSE,NA,NA
"72","@douglaskarr @kaitkarr @Starbucks thank you, Doug for you Starbucks account that gets auto refilled. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE,0,"douglaskarr",2016-08-23 14:54:00,FALSE,"766657548460195844","768098973307592704","13410","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brittwiiild",0,FALSE,FALSE,NA,NA
"73","Can we stop judging the people who get Starbucks? Not everyone wants their coffee to taste like death.",FALSE,0,NA,2016-08-23 14:53:59,FALSE,NA,"768098968790245377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TiaraMichelle97",0,FALSE,FALSE,NA,NA
"74","Can you recommend anyone for this #job? https://t.co/lNdB3rs07i #Hospitality #Veterans #Hiring #CareerArc",FALSE,0,NA,2016-08-23 14:53:56,FALSE,NA,"768098957067116544",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_NEO_HRTA",0,FALSE,FALSE,"-96.186987","41.2346284"
"75","I just checked in at Starbucks with #mPLUSPlaces Download today!  https://t.co/ZUDSnAnjHv",FALSE,0,NA,2016-08-23 14:53:54,FALSE,NA,"768098949798432768",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","margieburr",0,FALSE,FALSE,NA,NA
"76","I'm at Starbucks Coffee | Shwaikh https://t.co/6LYaVtKvTS",FALSE,0,NA,2016-08-23 14:53:54,FALSE,NA,"768098947122491392",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","daihanen6",0,FALSE,FALSE,NA,NA
"77","Fascinating - have never seen a dark cocoa powder at @Starbucks  @Blenda73",FALSE,0,"Blenda73",2016-08-23 14:53:51,FALSE,"768090063796178945","768098936582201345","34424515","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoffeePuff",0,FALSE,FALSE,NA,NA
"78","Starbucks, bagel, yogurt https://t.co/3wH4qVs7qC",FALSE,0,NA,2016-08-23 14:53:49,FALSE,NA,"768098926981287936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CdoTMoody",0,FALSE,FALSE,NA,NA
"79","Grab coffee and a good book and celebrate Ride the Wind day! #bnmidwest #nationalridethewindday #kopelani #starbucks https://t.co/4GrjKZwQug",FALSE,0,NA,2016-08-23 14:53:46,FALSE,NA,"768098912674590720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BNMaplewoodMN",0,FALSE,FALSE,NA,NA
